SN,City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial,2013-14 - Property Tax Collection (in crores) -OPEN PLOT,2014-15 - Property Tax Collection (in crores) - OPEN PLOT,2015-16 - Property Tax Collection (in crores) - OPEN PLOT,2016-17 - Property Tax Collection (in crores) - OPEN PLOT,2017-18 - Property Tax Collection (in crores) - OPEN PLOT,2013-14 - Property Tax Demand (in crores) - OPEN PLOT,2014-15 - Property Tax Demand (in crores) - OPEN PLOT,2015-16 - Property Tax Demand (in crores) - OPEN PLOT,2016-17 - Property Tax Demand (in crores) - OPEN PLOT,2017-18 - Property Tax Demand (in crores) - OPEN PLOT
11,PUNE,3,Hingne,18,28920747,26139516,37388733,32499874,30272408,24512333,24467243,27915283,29359820,30772693,9140006,8661267,11594408,11138327,11835051,8767319,8549648,9191243,9482692,11158051,1039878,1297868,1275999,1475173,1132370,930071,1458225,1128197,1131993,1133467
12,PUNE,3,Kasba Peth,6,38219188,40053686,68606564,47282512,41597994,35913723,38106165,44746257,45141796,47357990,50314991,58740681,69647855,94747687,57829831,48109918,61420441,115504387,104478414,90530310,41112,38365,69966,33739,17231,58412,56868,70332,70332,70388
13,PUNE,4,Katraj,22,69292046,62084238,110079678,80369857,65874585,58488173,57733548,63702367,68282809,71486263,19352931,19671378,28485726,27307875,19777409,16697884,17164098,21171138,19148656,19949307,2587880,4435332,7683313,8481819,4788313,6291877,6176596,6934140,6997854,6939835
14,PUNE,4,Kondhwa,24,102656152,99004701,178187671,119058715,95901429,98663033,98485708,108362740,112454405,116098019,35498890,31294535,55099469,43529311,27980825,36930816,32481547,34255117,35546107,34711430,12406763,10716353,16650256,14475483,10590114,14354073,14436634,16189052,16176305,16181113
15,PUNE,1,Kothrud,4,351622973,346836674,453111842,423883637,448239743,333465612,338988621,388210971,464020154,486094777,185941468,213448607,282482849,290235954,253789171,198455822,255852955,305732220,345692154,366325317,7670030,9293558,11582826,13203678,14142726,12111992,13271557,16929801,18693643,18848504
16,PUNE,2,Nagar Road(Vadgaonsheri),9,429218365,418652508,576573133,641215092,604896092,430678764,430436187,552819848,727276003,690077638,459832011,735455131,955441351,1054475895,1085576238,492588881,779421042,1041360440,1110010432,1234667133,21401597,53172238,58898335,70108061,50524701,45246794,56696689,71384519,75762152,83691448
17,PUNE,3,Sahakar Nagar,11,168755625,169920837,243166381,248705433,234943836,169288944,174429861,205398241,238797957,252393828,80863709,100244005,122168453,138500047,101278586,98577022,129828046,142345369,158280399,137425636,7486312,9257856,11201840,13906075,14676528,12230459,13400747,16367012,18960978,20467292
18,PUNE,2,Sangam Wadi,14,163376071,164657407,222632765,224011034,209459601,152814112,161828118,185480409,227274599,232414472,32613124,37241276,51505905,79208428,44882745,38973287,54586203,81630050,94016039,74872531,12830446,14826729,16250515,21945500,20547748,18434621,19426490,22677112,26214928,28364931
19,PUNE,3,Tilak Road,5,183306337,186417190,297400947,291922168,268064776,187698777,201331459,246292400,282580286,307146808,150480029,170029797,228535036,290589057,213003305,165653464,265363793,271012177,332023989,319054767,17392209,23655298,27930963,48246849,35864417,23977590,29074534,44926593,50059861,63601313
20,PUNE,3,Vadgaon Bk,20,57179082,54601295,91659387,62348063,52902605,54194332,53920557,60381409,63009893,64529912,18752946,18721452,28897686,20687219,17440793,14404439,15238421,16013493,16053266,16199857,1122894,2270886,1540554,1729437,1120781,1751741,1937244,2173032,2172487,2172904
21,PUNE,2,Vadgaonsheri,9,80157549,74859225,108767778,91737662,90021768,68921045,66663005,74646576,91623844,102280619,27717725,23753620,26701315,26089840,21796317,24129691,24569123,25868022,26418701,26880334,1578172,1746316,1807741,10042909,2385230,2625399,2604302,2923784,2912519,2925792
22,PUNE,3,Vishrambaug Wada,3,91253601,99021308,128986687,112034311,115530437,87240536,93600082,101008533,110421354,119322540,142183052,156534876,201561057,212905982,184374412,143388002,166976780,186967529,245533650,212339564,139915,220856,170475,605690,287793,294196,298591,356356,488088,596432
23,PUNE,1,Warje,12,255983687,254956953,380071021,336575864,316199287,250105577,260623626,288187273,325695629,329951785,55024308,74290576,81757682,103783728,76347687,66066925,93875507,101416969,124755007,101114454,8058965,10248602,19848376,26635763,11980782,14868465,15231475,19476426,20627292,20592251
